TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-03-09 12:29:03,1773059343922,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/tours/cusco-magico-4d-3n,GET,_rsc=8rrgv,,jxgbt-1773059343922-cba60d9c3ec3,vercel-screenshot/1.0,,production,,,function,/[locale]/tours/[slug].rsc,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,3387,iad1,299,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9951R21YEVV2RYT6CE1GFG,9wEYNJMBNQcR,2
2026-03-09 12:29:03,1773059343537,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/blog,GET,_rsc=8rrgv&nxtPlocale=en,200,wf24f-1773059342860-be4169c2a011,vercel-screenshot/1.0,info,production,main,MISS,function,/[locale]/blog,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,,,,,"⚠️ Missing recommended environment variables: PAYPAL_WEBHOOK_ID, PAYPAL_CLIENT_ID, PAYPAL_CLIENT_SECRET. Some features (payments, emails, webhooks) may not work correctly.",prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/blog,GET,_rsc=8rrgv&nxtPlocale=en,200,wf24f-1773059342860-be4169c2a011,vercel-screenshot/1.0,,production,main,MISS,function,/[locale]/blog.rsc,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,576,iad1,265,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950JEV12CG3PCR8M8AWA8,zaK9MB77VyEP,1
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/blog,GET,_rsc=8rrgv&nxtPlocale=en,200,wf24f-1773059342860-be4169c2a011,vercel-screenshot/1.0,,production,main,MISS,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,21,sfo1,259,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950GGGYHNP3AWXJ669495,I50WncTP5wK6,1
2026-03-09 12:29:03,1773059343541,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/contacto,GET,_rsc=8rrgv&nxtPlocale=en,200,lpf25-1773059342860-59b500c5af63,vercel-screenshot/1.0,info,production,main,MISS,function,/[locale]/contacto,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,,,,,"⚠️ Missing recommended environment variables: PAYPAL_WEBHOOK_ID, PAYPAL_CLIENT_ID, PAYPAL_CLIENT_SECRET. Some features (payments, emails, webhooks) may not work correctly.",prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/contacto,GET,_rsc=8rrgv&nxtPlocale=en,200,lpf25-1773059342860-59b500c5af63,vercel-screenshot/1.0,,production,main,MISS,function,/[locale]/contacto.rsc,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,462,iad1,261,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950K74B6RE98WK1RBZY6R,zcApDB4tae2u,1
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/contacto,GET,_rsc=8rrgv&nxtPlocale=en,200,lpf25-1773059342860-59b500c5af63,vercel-screenshot/1.0,,production,main,MISS,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,548,sfo1,256,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950GHAV4XFJ1D29SD3J5N,RVpJ5F31xGPb,1
2026-03-09 12:29:03,1773059343587,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/nosotros,GET,_rsc=8rrgv,,jswq4-1773059342860-e4da5ad9b49e,vercel-screenshot/1.0,info,production,main,,function,,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,,,,,"⚠️ Missing recommended environment variables: PAYPAL_WEBHOOK_ID, PAYPAL_CLIENT_ID, PAYPAL_CLIENT_SECRET. Some features (payments, emails, webhooks) may not work correctly.",prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,,,
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/nosotros,GET,_rsc=8rrgv,,jswq4-1773059342860-e4da5ad9b49e,vercel-screenshot/1.0,,production,main,,middleware,src/middleware,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,523,sfo1,257,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950GGGYHNP3AWXH4JGY6N,e0MgE6pdJdOI,1
2026-03-09 12:29:02,1773059342860,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app/en/nosotros,GET,_rsc=8rrgv,,jswq4-1773059342860-e4da5ad9b49e,vercel-screenshot/1.0,,production,main,,function,/[locale]/nosotros.rsc,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,like-in-house-web-rzck-cz308vqhy-likeinhouses-projects.vercel.app,dpl_GmoSezsgAC5tPtATw7uqKg2W7CnH,560,iad1,261,2048,,prj_dNXcEcgiNu2rz3iBT2Fqdx8SX6eG,,,01KK9950KSZFMBF5KAMVVCS344,9wEYNJMBNQcR,1
